CÓDIGO;PRODUCTO; PMVP 
DELUXE8AZ;CAVA DELUX TUNDRA 8 LITROS (AZUL);14,355
TUNDRA14;CAVA TUNDRA CLASICA DE 14 LITROS;19,71
TUNDRA30;CAVA TUNDRA CLASICA DE 30 LITROS;29,25
CAIMAN50AZ;CAVA TUNDRA MODELO CAIMAN 50 LITROS;62,775
CAIMAN50NJ;CAVA TUNDRA MODELO CAIMAN 50 LITROS;62,775
TUNDRA51;TERMO TUNDRA DE 51 LITROS;44,055
TUNDRA38;TERMO TUNDRA DE 38 LITROS (10 GALONES);35,955
TUNDRA9;TERMO TUNDRA DE 9 LITROS;17,955
TUNDRA7.5;TERMO TUNDRA DE 7.5 LITROS;11,565
TUNDRAC2;COMBO PERSONAL TUNDRA;11,655
TUNDRAC3;COMBO PLAYERO TUNDRA;4,05
TUNDRAC1;COMBO VIAJERO TUNDRA;8,955
KE113OHERA;RUEDA DE PIZZA MANGO ROJO Y CABEZA DE ACERO INOXIDABLE;10,755
KE031OHERA;ESPATULA RASPADOR MANGO ROJO Y CABEZA DE ACERO INOXIDABLE;7,155
KE006OHERA;BATIDOR CLASICO ROJO;5,85
KE030OHERA;CUCHARA ESPATULA SILICONA ROJA;7,155
KE145OHERA;PELADOR CLASICO MANGO ROJO Y CABEZA DE ACERO INOX;5,85
KE132OHERA;PRENSA DE AJO CLASICA ROJA;13,455
KE112OHERA;PELADOR DE PAPAS KITCHE;5,85
KE321OHERA;RALLADOR ZESTER CLASICO;13,455
KE161OHERA;COLADOR MANGO ROJO MALLA ACERO INOX Y CON BORDE NYLON NEGRO;13,455
KO715OHCWA;ESPATULA MADERA DE CEREZO;7,785
KO703OHCWA;CUCHARA MADERA DE CEREZO;7,785
KO731OHERA;ESPATULA RASPADORA;5,85
KO730OHERA;ESPATULA CUCHARA DE SILICONA MADERA DE CEREZO;5,85
KO732OHERA;ESPATULA MEZCLADORA;5,85
KE320OHERA;RALLADOR CLASICO KITCHE;13,455
KE175OSA7A;SET DE 3 BOWL KITCHE;22,455
KES094OHCGW;PINZAS DE ACERO C/PUNTA DE SILICONA;12,285
KES057OHA8W;SET DE 3 CUCHARAS MEDIDORAS MANGO SUAVE;4,05
KES058OHA8W;SET DE 4 TAZAS MEDIDORAS MANGO SUAVE;5,85
KO447BXERI;KIT DE UTENSILIOS KITCHE;49,5
KE199OHERA;ABRIDOIR DE LATAS KITCHE;15,21
KES351OHOBW;TIJERAS DE COCINA MULTIUSOS;7,155
KKFSS14BO;SET DE CUCHILLOS CON 14 PZ KITCHEN AID CON BASE BAMBU;76,5
KKFTR16SL;SET DE CUCHILLOS CON 16 PZ KITCHEN AID CON BASE REMACHE;99
KC2A10TPER;"JUEGO DE SARTENES TWIN PACK 10"" 12"" ROJO ANTIADHERENTE";58,5
KC3AS10GD;JUEGO DE OLLAS KITCHEN AID  ANTIADHERENTE T/VIDRIO ROJO 10 PZ ASA ACERO;157,5
KFC0516FW;PROCESADOR DE ALIMENTOS 5 TAZAS BLANCOMATE;53,1
KFP0718;PROCESADOR DE ALIMENTOS 7 TAZAS BLANCOMATE;108
KHB1231;BATIDORA DE INMERSION KITCHENAID;48,6
KHM512;BATIDORA KITCHENAID 5 VELOCIDADES;49,5
KSB1325BM;LICUADORA PANDORA TRITURA HIELO K150 VASO DE VIDRIO 48OZ (1.4LTS) NEGRO MATE;116,1
KSB1325OB;LICUADORA PANDORA TRITURA HIELO K150 VASO DE VIDRIO 48OZ (1.4LTS) NEGRO ONIX;116,1
KSB1325PA;LICUADORA PANDORA TRITURA HIELO K150 VASO DE VIDRIO 48OZ (1.4LTS) ROJO;116,1
KSB1325WH;LICUADORA PANDORA TRITURA HIELO K150 VASO DE VIDRIO 48OZ (1.4LTS) BLANCA;116,1
KSM150PS;BATIDORA ARTISAN KITCHENAID 5 QT;332,1
